n, Fn sucesion, t sucesion, Fn formula, t formula, |Fn_sucesion - Fn_formula|, error relativo Fn_formula
1,1,0.0006530284881591797,1,0.000553131103515625,0,0
2,2,9.608268737792969e-05,2,7.295608520507812e-05,0,0
3,3,6.604194641113281e-05,3,7.009506225585938e-05,0,0
4,5,8.106231689453125e-05,5,7.009506225585938e-05,0,0
5,8,0.0001468658447265625,8,7.081031799316406e-05,0,0
6,13,0.0001080036163330078,13,6.890296936035156e-05,0,0
7,21,0.0001358985900878906,21,7.104873657226562e-05,0,0
8,34,0.0001378059387207031,34,7.295608520507812e-05,0,0
9,55,0.0001518726348876953,55,6.914138793945312e-05,0,0
10,89,0.0001668930053710938,89,9.989738464355469e-05,0,0
11,144,0.0001931190490722656,144,7.009506225585938e-05,0,0
12,233,0.0002088546752929688,233,6.890296936035156e-05,0,0
13,377,0.0002069473266601562,377,6.890296936035156e-05,0,0
14,610,0.0002219676971435547,610,6.890296936035156e-05,0,0
15,987,0.0002958774566650391,987,6.985664367675781e-05,0,0
16,1597,0.0002501010894775391,1597,8.606910705566406e-05,0,0
17,2584,0.0005691051483154297,2584,0.0002470016479492188,0,0
18,4181,0.0006070137023925781,4181,0.00014495849609375,0,0
19,6765,0.0004301071166992188,6765,9.989738464355469e-05,0,0
20,10946,0.000431060791015625,10946,7.295608520507812e-05,0,0
21,17711,0.0003221035003662109,17711,7.104873657226562e-05,0,0
22,28657,0.0003340244293212891,28657,7.081031799316406e-05,0,0
23,46368,0.0004220008850097656,46368,7.486343383789062e-05,0,0
24,75025,0.0003628730773925781,75025,7.009506225585938e-05,0,0
25,121393,0.0003778934478759766,121393,6.890296936035156e-05,0,0
26,196418,0.0005900859832763672,196418,8.20159912109375e-05,0,0
27,317811,0.0004529953002929688,317811,8.20159912109375e-05,0,0
28,514229,0.0005171298980712891,514229,8.296966552734375e-05,0,0
29,832040,0.0004360675811767578,832040,6.914138793945312e-05,0,0
30,1346269,0.0004491806030273438,1346269,7.200241088867188e-05,0,0
31,2178309,0.0005028247833251953,2178309,8.296966552734375e-05,0,0
32,3524578,0.0004770755767822266,3524578,7.510185241699219e-05,0,0
33,5702887,0.0004949569702148438,5702887,6.985664367675781e-05,0,0
34,9227465,0.0005049705505371094,9227465,6.985664367675781e-05,0,0
35,14930352,0.0005700588226318359,14930352,7.009506225585938e-05,0,0
36,24157817,0.0005331039428710938,24157817,0.0001809597015380859,0,0
37,39088169,0.0007958412170410156,39088169,8.58306884765625e-05,0,0
38,63245986,0.0005779266357421875,63245986,7.390975952148438e-05,0,0
39,102334155,0.0005919933319091797,102334155,6.985664367675781e-05,0,0
40,165580141,0.0005960464477539062,165580141,6.985664367675781e-05,0,0
41,267914296,0.0006201267242431641,267914296,7.200241088867188e-05,0,0
42,433494437,0.0006580352783203125,433494437,7.104873657226562e-05,0,0
43,701408733,0.0006380081176757812,701408733,7.605552673339844e-05,0,0
44,1134903170,0.001009941101074219,1134903170,0.0001089572906494141,0,0
45,1836311903,0.0007970333099365234,1836311903,7.796287536621094e-05,0,0
46,2971215073,0.0006740093231201172,2971215073,7.104873657226562e-05,0,0
47,4807526976,0.0007610321044921875,4807526976,7.104873657226562e-05,0,0
48,7778742049,0.0007140636444091797,7778742049,7.295608520507812e-05,0,0
49,12586269025,0.0007169246673583984,12586269025,7.486343383789062e-05,0,0
50,20365011074,0.000743865966796875,20365011074,8.893013000488281e-05,0,0
51,32951280099,0.0007719993591308594,32951280099,7.390975952148438e-05,0,0
52,53316291173,0.0007719993591308594,53316291173,7.009506225585938e-05,0,0
53,86267571272,0.0007929801940917969,86267571272,7.390975952148438e-05,0,0
54,139583862445,0.0007889270782470703,139583862445,7.319450378417969e-05,0,0
55,225851433717,0.0008289813995361328,225851433717,7.104873657226562e-05,0,0
56,365435296162,0.0008330345153808594,365435296162,0.0002369880676269531,0,0
57,591286729879,0.001109123229980469,591286729879,8.392333984375e-05,0,0
58,956722026041,0.0008561611175537109,956722026041,7.104873657226562e-05,0,0
59,1548008755920,0.0008640289306640625,1548008755920,7.295608520507812e-05,0,0
60,2504730781961,0.0009090900421142578,2504730781961,7.200241088867188e-05,0,0
61,4052739537881,0.0008938312530517578,4052739537881,0.0001530647277832031,0,0
62,6557470319842,0.0009241104125976562,6557470319842,7.581710815429688e-05,0,0
63,10610209857723,0.0009329319000244141,10610209857723,7.915496826171875e-05,0,0
64,17167680177565,0.0009579658508300781,17167680177565,9.202957153320312e-05,0,0
65,27777890035288,0.0009660720825195312,27777890035288,7.081031799316406e-05,0,0
66,44945570212853,0.001009225845336914,44945570212853,0.0001628398895263672,0,0
67,72723460248141,0.001858949661254883,72723460248141,9.608268737792969e-05,0,0
68,117669030460994,0.001724004745483398,117669030460994,9.298324584960938e-05,0,0
69,190392490709135,0.001001834869384766,190392490709135,7.390975952148438e-05,0,0
70,308061521170129,0.001020908355712891,308061521170129,0.0001678466796875,0,0
71,498454011879264,0.001344919204711914,498454011879264,9.512901306152344e-05,0,0
72,806515533049393,0.001121044158935547,806515533049393,7.700920104980469e-05,0,0
73,1304969544928657,0.001070976257324219,1304969544928657,8.20159912109375e-05,0,0
74,2111485077978050,0.001089096069335938,2111485077978050,9.298324584960938e-05,0,0
75,3416454622906707,0.001110076904296875,3416454622906706,8.0108642578125e-05,1,2.927010923239495e-16
76,5527939700884757,0.001112937927246094,5527939700884756,8.106231689453125e-05,1,1.808992236004217e-16
77,8944394323791464,0.00111699104309082,8944394323791463,7.081031799316406e-05,1,1.118018687235277e-16
78,1.447233402467622e+16,0.001133203506469727,1.447233402467622e+16,9.298324584960938e-05,2,1.38194709753788e-16
79,2.341672834846768e+16,0.002916097640991211,2.341672834846768e+16,9.202957153320312e-05,8,3.416361107730703e-16
80,3.78890623731439e+16,0.001304149627685547,3.78890623731439e+16,8.416175842285156e-05,8,2.111427282420815e-16
81,6.130579072161158e+16,0.001177072525024414,6.130579072161158e+16,7.581710815429688e-05,0,0
82,9.919485309475549e+16,0.001250028610229492,9.919485309475549e+16,0.0001709461212158203,0,0
83,1.605006438163671e+17,0.0012969970703125,1.60500643816367e+17,8.988380432128906e-05,32,1.993761472795837e-16
84,2.596954969111226e+17,0.001228094100952148,2.596954969111225e+17,0.0001199245452880859,32,1.232212355647876e-16
85,4.201961407274897e+17,0.001296043395996094,4.201961407274896e+17,8.797645568847656e-05,64,1.523098234295921e-16
86,6.798916376386122e+17,0.001260995864868164,6.798916376386121e+17,0.0001130104064941406,128,1.88265295399966e-16
87,1.100087778366102e+18,0.001368999481201172,1.100087778366102e+18,0.0001559257507324219,256,2.327087029184365e-16
88,1.779979416004714e+18,0.001389026641845703,1.779979416004714e+18,0.0001599788665771484,256,1.438218878814956e-16
89,2.880067194370816e+18,0.001469850540161133,2.880067194370815e+18,0.0001430511474609375,512,1.777736300738818e-16
90,4.66004661037553e+18,0.001755952835083008,4.660046610375529e+18,9.179115295410156e-05,1024,2.197402913782188e-16
91,7.540113804746346e+18,0.001340866088867188,7.540113804746344e+18,7.891654968261719e-05,2048,2.716139375390894e-16
92,1.220016041512188e+19,0.001518011093139648,1.220016041512187e+19,7.987022399902344e-05,4096,3.357332904346965e-16
93,1.974027421986823e+19,0.001351833343505859,1.974027421986822e+19,9.703636169433594e-05,8192,4.149891692869647e-16
94,3.19404346349901e+19,0.001405000686645508,3.194043463499009e+19,7.104873657226562e-05,8192,2.564774115824282e-16
95,5.168070885485833e+19,0.001396894454956055,5.16807088548583e+19,9.417533874511719e-05,24576,4.755352731136096e-16
96,8.362114348984843e+19,0.001399040222167969,8.362114348984841e+19,0.000209808349609375,16384,1.959313077557832e-16
97,1.353018523447068e+20,0.002680063247680664,1.353018523447067e+20,9.202957153320312e-05,65536,4.843688306131596e-16
98,2.189229958345552e+20,0.001421928405761719,2.189229958345551e+20,7.987022399902344e-05,65536,2.993564004099732e-16
99,3.54224848179262e+20,0.001435995101928711,3.542248481792618e+20,0.0001559257507324219,196608,5.550372906095592e-16
100,5.731478440138172e+20,0.001571893692016602,5.731478440138169e+20,8.606910705566406e-05,327680,5.717198510339339e-16
